"site_id","year","quarter","kelp","no3","waves"
1,1987,1,0,5.08,3.638
2,1987,1,23572,5.29,6.818
3,1987,1,771,4.62,4.519
4,1987,1,1856,4.71,4.4
5,1987,1,0,4.43,4.351
6,1987,1,10423,4.42,4.391
7,1987,1,735,4.36,4.068
8,1987,1,1308,4.35,3.946
9,1987,1,0,4.4,3.794
10,1987,1,3266,4.31,3.636
11,1987,1,1475,4.28,3.476
12,1987,1,2956,4.25,3.883
13,1987,1,12628,4.06,3.383
14,1987,1,32446,4.1,4.324
15,1987,1,699,4.04,2.719
16,1987,1,3240,3.98,3.346
17,1987,1,95952,3.98,3.105
18,1987,1,10328,3.95,3.198
19,1987,1,17976,3.97,2.79
20,1987,1,1620,4.1,3.004
21,1987,1,866,4.14,3.039
22,1987,1,1551,4.22,0.773
23,1987,1,5377,4.06,1.491
24,1987,1,41727,4.06,1.453
25,1987,1,14334,4.06,3.358
26,1987,1,61582,4.13,2.644
27,1987,1,2089,4.13,3.566
28,1987,1,384,4.14,4.744
29,1987,1,178,4.16,5.9
30,1987,1,0,4.15,5.888
31,1987,1,0,4.25,6.517
32,1987,1,0,4.36,5.925
33,1987,1,0,4.3,5.644
34,1987,1,14166,4.34,5.416
35,1987,1,17036,4.34,7.09
36,1987,1,147526,4.03,4.414
37,1987,1,35496,4.03,5.757
38,1987,1,149889,4.03,4.925
39,1987,1,112200,4.02,3.911
40,1987,1,92676,4.24,3.909
41,1987,1,67945,3.68,2.858
42,1987,1,50385,3.68,3.757
43,1987,1,278156,3.68,3.849
44,1987,1,8161,3.68,2.371
45,1987,1,32007,3.39,1.532
46,1987,1,55844,3.38,2.826
47,1987,1,4431,3.53,7.229
48,1987,1,10571,3.53,5.509
49,1987,1,84577,3.56,4.249
50,1987,1,30277,3.29,4.018
51,1987,1,4822,3.29,5.885
52,1987,1,15884,3.56,8.018
53,1987,1,416,3.58,6.516
54,1987,1,34120,3.41,5.193
55,1987,1,28278,3.43,5.088
56,1987,1,1192,3.43,6.084
57,1987,1,14200,3.43,5.471
58,1987,1,41193,3.48,5.466
59,1987,1,42249,3.48,5.541
60,1987,1,14949,3.48,5.868
61,1987,1,5546,3.29,6.544
62,1987,1,21352,3.23,5.578
63,1987,1,5947,3.23,6.644
64,1987,1,64635,3.23,4.89
65,1987,1,0,3.22,6.24
66,1987,1,7204,3.46,5.64
67,1987,1,1202,3.31,5.107
68,1987,1,0,3.31,5.935
69,1987,1,1594,3.37,6.373
70,1987,1,51489,3.18,5.914
71,1987,1,18049,3.34,4.988
72,1987,1,1999,3.34,4.853
73,1987,1,53069,3.29,5.453
74,1987,1,0,3.31,6.562
75,1987,1,0,4.13,7.195
76,1987,1,18283,4.16,5.982
77,1987,1,84854,4.13,5.493
78,1987,1,31432,4.13,8.146
79,1987,1,43876,4.16,9.435
80,1987,1,64531,4.27,6.058
81,1987,1,3876,4.25,5.712
82,1987,1,1904,4.12,5.908
83,1987,1,938,4.1,5.433
84,1987,1,27016,3.76,3.378
85,1987,1,76979,3.92,3.133
86,1987,1,21156,3.92,3.288
87,1987,1,105250,4.03,3.029
88,1987,1,75388,4.14,3.345
89,1987,1,42227,4.03,3.651
90,1987,1,8296,4.14,3.815
91,1987,1,205513,4.14,3.613
92,1987,1,127110,4.14,2.953
93,1987,1,153222,4.15,2.425
94,1987,1,62484,4.15,3.121
95,1987,1,17398,4.15,2.945
96,1987,1,22914,4.15,3.416
97,1987,1,880,4.12,4.517
98,1987,1,574,4.08,4.279
99,1987,1,28505,4.09,3.38
100,1987,1,7934,4.09,3.964
101,1987,1,51087,4.08,4.361
102,1987,1,17489,3.67,4.172
103,1987,1,5555,4.08,4.635
104,1987,1,20460,3.71,5.716
105,1987,1,7851,3.71,4.606
106,1987,1,12815,3.76,5.062
107,1987,1,20122,3.78,4.057
108,1987,1,25335,3.78,4.67
109,1987,1,375,3.78,6.48
110,1987,1,900,3.92,4.899
111,1987,1,13015,3.92,4.731
112,1987,1,2859,3.81,4.132
113,1987,1,3403,3.73,3.616
114,1987,1,0,3.78,4.712
115,1987,1,0,3.56,5.631
116,1987,1,28064,3.69,5.653
117,1987,1,5854,3.69,5.9
118,1987,1,0,3.66,5.289
119,1987,1,3533,4.13,5.998
120,1987,1,917,4.13,5.3
121,1987,1,0,3.7,4.583
122,1987,1,0,3.69,3.787
123,1987,1,0,4.16,4.643
124,1987,1,0,3.83,4.026
125,1987,1,0,3.86,3.668
126,1987,1,0,4.18,4.593
127,1987,1,1598,4.18,4.015
128,1987,1,0,3.98,3.995
129,1987,1,0,3.99,4.449
130,1987,1,22366,3.83,4.407
131,1987,1,18348,3.83,4.933
132,1987,1,737,3.69,5.609
133,1987,1,0,3.68,6.296
134,1987,1,0,3.6,4.759
135,1987,1,0,3.59,5.514
136,1987,1,0,3.58,6.464
137,1987,1,0,3.58,6.074
138,1987,1,0,3.57,7.502
139,1987,1,0,3.46,5.278
140,1987,1,0,3.46,4.57
141,1987,1,0,3.4,5.228
142,1987,1,0,3.4,4.823
143,1987,1,0,3.39,5.326
144,1987,1,0,3.39,4.121
145,1987,1,0,3.41,4.876
146,1987,1,0,3.09,4.863
147,1987,1,0,3.09,4.81
148,1987,1,0,3.09,5.396
149,1987,1,0,3.09,5.324
150,1987,1,0,3.09,6.191
151,1987,1,0,3.14,5.27
152,1987,1,0,3.11,5.163
153,1987,1,0,3.19,4.903
154,1987,1,0,3.1,4.936
155,1987,1,0,3.09,5.223
156,1987,1,0,3,5.573
157,1987,1,0,2.94,4.914
158,1987,1,0,2.83,5.69
159,1987,1,0,4.17,5.024
160,1987,1,0,4.17,4.736
161,1987,1,0,4.17,7.018
162,1987,1,0,4.18,6.875
163,1987,1,0,3.86,3.982
164,1987,1,9529,3.95,4.587
165,1987,1,1118,3.95,4.919
166,1987,1,1325,3.95,3.387
167,1987,1,0,3.95,3.965
168,1987,1,0,4.07,3.75
169,1987,1,19319,4.26,4.52
170,1987,1,2309,4.31,3.807
171,1987,1,4748,4.31,5.37
172,1987,1,20878,4.34,4.475
173,1987,1,0,4.18,4.486
174,1987,1,8823,4.08,3.82
175,1987,1,22507,4.37,3.318
176,1987,1,2276,4.43,3.832
177,1987,1,0,4.45,3.989
178,1987,1,6437,4.45,3.836
179,1987,1,9556,4.36,4.006
180,1987,1,3116,3.86,3.787
181,1987,1,2971,3.86,4.507
182,1987,1,1556,3.78,4.117
183,1987,1,0,4.01,4.724
184,1987,1,0,3.8,5.084
185,1987,1,0,3.92,4.705
186,1987,1,0,3.92,3.969
187,1987,1,0,3.78,5.039
188,1987,1,0,4.32,5.082
189,1987,1,6858,4.34,5.419
190,1987,1,388,4.45,3.963
191,1987,1,14479,4.45,4.938
192,1987,1,1158,4.48,4.473
193,1987,1,886,4.47,4.64
194,1987,1,386,4.57,4.479
195,1987,1,2226,4.21,5.223
196,1987,1,0,4.27,5.067
197,1987,1,0,3.92,4.593
198,1987,1,0,3.88,4.749
199,1987,1,0,3.9,5.722
200,1987,1,0,3.87,5.463
201,1987,1,1016,3.9,4.534
202,1987,1,395,3.94,4.961
203,1987,1,0,4.2,3.817
204,1987,1,0,4.2,4.741
205,1987,1,0,4.2,4.608
206,1987,1,469,4.2,4.789
207,1987,1,0,4.22,4.455
208,1987,1,26236,4.23,3.995
209,1987,1,74816,4.29,3.46
210,1987,1,2531,4.27,3.623
211,1987,1,0,4.2,4.257
212,1987,1,0,4.2,5.968
213,1987,1,264,4.21,6.746
214,1987,1,0,4.33,4.414
215,1987,1,0,4.33,5.274
216,1987,1,0,4.47,4.721
217,1987,1,0,4.54,4.57
218,1987,1,15664.5,4.85,3.736
219,1987,1,117929,4.97,5.188
220,1987,1,70881,4.97,3.65
221,1987,1,0,4.98,3.65
222,1987,1,123464,4.96,3.132
223,1987,1,46983,4.96,3.521
224,1987,1,14816,4.96,3.039
225,1987,1,0,4.14,5.558
226,1987,1,1755,4.17,4.677
227,1987,1,13339,3.79,3.54
228,1987,1,2173,3.94,3.617
229,1987,1,0,3.9,3.363
230,1987,1,11089,3.9,3.042
231,1987,1,0,4.01,3.647
232,1987,1,2076,4.1,3.777
233,1987,1,0,3.97,4.585
234,1987,1,834,3.86,4.325
235,1987,1,5148,3.86,4.406
236,1987,1,88364,3.84,4.266
237,1987,1,1407,3.86,4.591
238,1987,1,91289,3.9,5.474
239,1987,1,0,3.9,6.379
240,1987,1,0,3.9,4.676
241,1987,1,505,3.98,4.903
242,1987,1,3648,3.65,6.111
